0,1,2,3,4,5,6,7,8,9
20204741,비밀정보원: 인 더 프리즌,,The Informer,"[{'auditNo': '2020-MF00393', 'watchGradeNm': '청소년관람불가'}]",20200415,2019,113,"[{'genreNm': '범죄'}, {'genreNm': '스릴러'}]","[{'peopleNm': '안드레아 디 스테파노', 'peopleNmEn': 'Andrea Di Stefano'}]"
20190280,날씨의 아이,,Weathering With You,"[{'auditNo': '2019-MF01942', 'watchGradeNm': '15세이상관람가'}]",20191030,2019,112,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '신카이 마코토', 'peopleNmEn': 'Makoto Shinkai'}]"
20167904,라라랜드,,LA LA LAND,"[{'auditNo': '2016-MF01848', 'watchGradeNm': '12세이상관람가'}]",20161207,2016,127,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '데이미언 셔젤', 'peopleNmEn': 'Damien Chazelle'}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20206190,서치 아웃,,Search Out,"[{'auditNo': '2020-MF00452 ', 'watchGradeNm': '15세이상관람가'}]",20200415,2019,92,[{'genreNm': '스릴러'}],"[{'peopleNm': '곽정', 'peopleNmEn': 'KWAK Jung'}]"
20206021,건즈 아킴보,,Guns Akimbo,"[{'auditNo': '2020-MF00519 ', 'watchGradeNm': '청소년관람불가'}]",20200415,2020,97,[{'genreNm': '액션'}],"[{'peopleNm': '제이슨 레이 하우덴', 'peopleNmEn': 'Jason Lei Howden'}]"
20204741,비밀정보원: 인 더 프리즌,,The Informer,"[{'auditNo': '2020-MF00393', 'watchGradeNm': '청소년관람불가'}]",20200415,2019,113,"[{'genreNm': '범죄'}, {'genreNm': '스릴러'}]","[{'peopleNm': '안드레아 디 스테파노', 'peopleNmEn': 'Andrea Di Stefano'}]"
20206402,오픈 더 도어,,STRAY,"[{'auditNo': '2020-MF00595', 'watchGradeNm': '15세이상관람가'}]",20200408,2019,88,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]","[{'peopleNm': '올가 고로데츠카야', 'peopleNmEn': ''}]"
20205262,엽문4: 더 파이널,,ip Man4: The Finale,"[{'auditNo': '2020-MF00167', 'watchGradeNm': '12세이상관람가'}]",20200401,2019,104,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]","[{'peopleNm': '엽위신', 'peopleNmEn': 'Wilson Yip'}]"
20196716,유령선,,Ghost Ship,"[{'auditNo': '2019-MF02273 ', 'watchGradeNm': '12세이상관람가'}]",20200415,2019,48,[{'genreNm': '다큐멘터리'}],"[{'peopleNm': '김지영', 'peopleNmEn': 'KIM Ji-young'}]"
20206447,라라걸,,Ride Like a Girl,"[{'auditNo': '2020-MF00534', 'watchGradeNm': '전체관람가'}]",20200415,2019,98,[{'genreNm': '드라마'}],"[{'peopleNm': '레이첼 그리피스', 'peopleNmEn': 'Rachel Griffiths'}]"
20128274,레미제라블,,Les Miserables,"[{'auditNo': '2012-F925 ', 'watchGradeNm': '12세이상관람가'}]",20121219,2012,158,[{'genreNm': '드라마'}],"[{'peopleNm': '톰 후퍼', 'peopleNmEn': 'Tom Hooper'}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20205262,엽문4: 더 파이널,,ip Man4: The Finale,"[{'auditNo': '2020-MF00167', 'watchGradeNm': '12세이상관람가'}]",20200401,2019,104,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]","[{'peopleNm': '엽위신', 'peopleNmEn': 'Wilson Yip'}]"
20206402,오픈 더 도어,,STRAY,"[{'auditNo': '2020-MF00595', 'watchGradeNm': '15세이상관람가'}]",20200408,2019,88,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]","[{'peopleNm': '올가 고로데츠카야', 'peopleNmEn': ''}]"
20204107,주디,,Judy,"[{'auditNo': '2020-MF00024', 'watchGradeNm': '12세이상관람가'}]",20200325,2019,117,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '루퍼트 굴드', 'peopleNmEn': 'Rupert Goold'}]"
20199842,인비저블맨,,The Invisible Man,"[{'auditNo': '2020-MF00293', 'watchGradeNm': '15세이상관람가'}]",20200226,2020,124,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '리 워넬', 'peopleNmEn': 'Leigh Whannell'}]"
20206446,n번째 이별 중,,Time Freak,"[{'auditNo': '2020-MF00398 ', 'watchGradeNm': '12세이상관람가'}]",20200401,2018,104,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '코미디'}]",[]
20167904,라라랜드,,LA LA LAND,"[{'auditNo': '2016-MF01848', 'watchGradeNm': '12세이상관람가'}]",20161207,2016,127,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '데이미언 셔젤', 'peopleNmEn': 'Damien Chazelle'}]"
20190280,날씨의 아이,,Weathering With You,"[{'auditNo': '2019-MF01942', 'watchGradeNm': '15세이상관람가'}]",20191030,2019,112,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '신카이 마코토', 'peopleNmEn': 'Makoto Shinkai'}]"
20205902,신과 나: 100일간의 거래,,Homestay,"[{'auditNo': '2019-MF01709', 'watchGradeNm': '15세이상관람가'}]",20200408,2018,136,"[{'genreNm': '미스터리'}, {'genreNm': '스릴러'}, {'genreNm': '판타지'}]","[{'peopleNm': '팍품 웡품', 'peopleNmEn': 'Parkpoom Wongpoom'}]"
20176767,"나는 내일, 어제의 너와 만난다","ぼくは明日, 昨日のきみとデートする","My tomorrow, your yesterday","[{'auditNo': '2017-MF00693', 'watchGradeNm': '12세이상관람가'}]",20171012,2016,110,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]","[{'peopleNm': '미키 타카히로', 'peopleNmEn': 'Takahiro Miki'}]"
20205262,엽문4: 더 파이널,,ip Man4: The Finale,"[{'auditNo': '2020-MF00167', 'watchGradeNm': '12세이상관람가'}]",20200401,2019,104,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]","[{'peopleNm': '엽위신', 'peopleNmEn': 'Wilson Yip'}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20204107,주디,,Judy,"[{'auditNo': '2020-MF00024', 'watchGradeNm': '12세이상관람가'}]",20200325,2019,117,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '루퍼트 굴드', 'peopleNmEn': 'Rupert Goold'}]"
20199842,인비저블맨,,The Invisible Man,"[{'auditNo': '2020-MF00293', 'watchGradeNm': '15세이상관람가'}]",20200226,2020,124,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '리 워넬', 'peopleNmEn': 'Leigh Whannell'}]"
20206446,n번째 이별 중,,Time Freak,"[{'auditNo': '2020-MF00398 ', 'watchGradeNm': '12세이상관람가'}]",20200401,2018,104,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '코미디'}]",[]
